127.0.0.1 - - [03/Oct/2018:14:04:33 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:02 -0300] "GET /the_Battle_for_Gondria/game/The_Battle_Of_Gondria/game/src/scenes/Level_2_boss.js HTTP/1.1" 200 3635
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:02 -0300] "GET /the_Battle_for_Gondria/game/The_Battle_Of_Gondria/game/src/scenes/Level_2.js HTTP/1.1" 200 10644
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:02 -0300] "GET /the_Battle_for_Gondria/game/The_Battle_Of_Gondria/game/src/scenes/CalculaPontuacao.js HTTP/1.1" 200 1490
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:02 -0300] "GET /the_Battle_for_Gondria/game/The_Battle_Of_Gondria/game/src/scenes/Leval_4.js HTTP/1.1" 200 8880
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:02 -0300] "GET /the_Battle_for_Gondria/game/The_Battle_Of_Gondria/game/src/sprites/Anims.js HTTP/1.1" 200 4840
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:02 -0300] "GET /the_Battle_for_Gondria/game/The_Battle_Of_Gondria/game/src/scenes/Level_1_boss.js HTTP/1.1" 200 3680
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:02 -0300] "GET /the_Battle_for_Gondria/game/The_Battle_Of_Gondria/game/src/sprites/player.js HTTP/1.1" 200 11758
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:02 -0300] "GET /the_Battle_for_Gondria/game/The_Battle_Of_Gondria/game/src/sprites/objects/Moeda.js HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:02 -0300] "GET /the_Battle_for_Gondria/game/The_Battle_Of_Gondria/game/src/sprites/objects/pocao.js HTTP/1.1" 200 593
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:02 -0300] "GET /the_Battle_for_Gondria/game/The_Battle_Of_Gondria/game/src/scenes/Level_3.js HTTP/1.1" 200 6693
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:02 -0300] "GET /the_Battle_for_Gondria/game/The_Battle_Of_Gondria/game/src/scenes/Level_1.js HTTP/1.1" 200 8786
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:02 -0300] "GET /the_Battle_for_Gondria/game/The_Battle_Of_Gondria/game/src/sprites/enemies/goblins.js HTTP/1.1" 200 8378
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:02 -0300] "GET /the_Battle_for_Gondria/game/The_Battle_Of_Gondria/game/src/sprites/objects/bandeira.js HTTP/1.1" 200 1071
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:02 -0300] "GET /the_Battle_for_Gondria/game/The_Battle_Of_Gondria/game/src/sprites/objects/Chave.js HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:02 -0300] "GET /the_Battle_for_Gondria/game/The_Battle_Of_Gondria/game/src/sprites/objects/ponte.js HTTP/1.1" 200 3424
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:02 -0300] "GET /the_Battle_for_Gondria/game/The_Battle_Of_Gondria/game/src/sprites/objects/casa.js HTTP/1.1" 200 2166
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:02 -0300] "GET /the_Battle_for_Gondria/game/The_Battle_Of_Gondria/game/src/sprites/Aldeao.js HTTP/1.1" 200 989
